	001A	001B	002B	003A	004B	006A	006B	008A	008B	009A	009B	010A	010B	012A	012B	013A	013B	014B	015B	016B	017B	018B	019A	020B	27S	30S	31S	4S
Biotin carboxyl carrier protein of oxaloacetate decarboxylase	1	6	1	4	1	1	1	1	6	1	1	1	1	1	1	1	1	6	0	1	1	1	2785	1	5	9	9	11
Biotin carboxylase of acetyl-CoA carboxylase (EC 6.3.4.14)	18	5	12	908	2	74	4	883	92	1807	2	45	7	125	264	80	2	3164	90	253	495	484	16	2	223	4	551	3
Biotin sulfoxide reductase (EC 1.-.-.-)	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Biotin synthase (EC 2.8.1.6)	2	6	1	221	2	230	1	222	16	144	1	62	6	159	106	61	306	247	5	219	289	203	163	2	54	1	61	2
Biotin synthesis protein bioC	0	0	0	3	0	18	0	1	0	0	0	2	0	0	1	0	0	2	0	5	0	1	0	0	1	1	1	1
Biotin synthesis protein bioG	0	0	0	0	0	25	0	0	0	0	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0
Biotin synthesis protein bioH	2	445	40	68	887	1	3	5	3	1	1	1	1	1	1	3	1	2	1	1	1	1	4	410	1	49	23	129
Biotin-protein ligase (EC 6.3.4.15)	65	56	50	2777	24	1408	26	3265	307	1675	27	2889	22	1395	1621	1552	3719	3447	181	3923	6870	3521	345	32	1331	5	699	7
biphenyl-2,3-diol 1,2-dioxygenase III-related protein	25	3	9	1	3	1	1	1	3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	18	1	1	1	5
Bis(5'-nucleosyl)-tetraphosphatase (asymmetrical) (EC 3.6.1.17)	5	20	3231	3145	1944	62	2044	3219	39	1676	24	34	5	1805	1255	2502	9	2394	5	3389	1248	323	6045	7	421	136	967	59
Bis(5'-nucleosyl)-tetraphosphatase, symmetrical (EC 3.6.1.41)	0	2	2	0	1	1	0	0	0	0	0	0	0	1	0	0	0	1	2	0	0	0	1	0	0	0	0	0
Blue copper oxidase CueO precursor	104	24847	866	291	3530	11	8	48	52	6	549	11	5460	12	9	9	6	10	17	11	8	7	5712	9101	30	11318	1012	19626
Branched-chain alpha-keto acid dehydrogenase, E1 component, alpha subunit (EC 1.2.4.4)	0	0	0	2	0	1	1	1	2	0	2	0	1217	0	0	0	2	0	1	0	1	0	0	0	0	0	0	0
Branched-chain alpha-keto acid dehydrogenase, E1 component, beta subunit (EC 1.2.4.4)	0	0	0	0	0	2	0	0	2	0	0	0	1237	0	0	11	0	0	0	0	0	1	0	0	0	0	0	0
Branched-chain amino acid ABC transporter, amino acid-binding protein (TC 3.A.1.4.1)	8	5	74	52	80	694	49	191	30	4769	5	81	7	727	504	896	204	3435	26	53	744	60	131	5	61	6	183	4
Branched-chain amino acid aminotransferase (EC 2.6.1.42)	287	27	38	1944	14	997	12	8310	7202	1095	10	2734	12	580	2847	1955	69	4940	194	1531	10183	4169	270	19	2955	30	314	26
Branched-chain amino acid transport ATP-binding protein LivF (TC 3.A.1.4.1)	5	4	2	2	6	383	7	66	3	3961	3	56	16	1338	229	416	13	1667	19	42	381	53	83	5	18	4	87	3
Branched-chain amino acid transport ATP-binding protein LivG (TC 3.A.1.4.1)	8	5	4	1	4	406	4	102	3	4299	1	64	2	417	351	713	10	1492	9	45	508	20	102	2	27	5	126	2
Branched-chain amino acid transport system permease protein LivM (TC 3.A.1.4.1)	1	3	2	3	2	234	5	37	2	3399	3	15	2	281	204	556	2	1373	5	31	287	9	51	2	3	3	106	2
Broad-substrate range phospholipase C (EC 3.1.4.3)	0	0	0	0	0	0	1	1	1	1	1	1	1856	1	1	0	0	0	0	4	3	1	0	0	0	0	0	0
Butyrate kinase (EC 2.7.2.7)	0	0	0	0	0	1	0	0	0	1	1	0	1805	0	0	0	1	0	0	1	0	0	0	1	0	0	0	0
Butyrate-acetoacetate CoA-transferase subunit A (EC 2.8.3.9)	0	2	0	0	1	712	0	4	0	0	0	37	0	5	0	2	0	0	0	0	40	0	7	0	2	0	0	0
Butyrate-acetoacetate CoA-transferase subunit B (EC 2.8.3.9)	0	0	1	0	0	340	0	3	1	3	0	42	0	0	2	0	0	0	0	2	36	0	9	1	3	0	0	0
Butyryl-CoA dehydrogenase (EC 1.3.99.2)	433	1024	450	29974	462	21162	415	47614	713	29482	371	6277	430	34081	32892	12106	82687	42235	678	62109	72132	27194	619	371	8703	9	16225	15
C-terminal domain of CinA type S	1	2	1	1	1	604	1	5	9	39	1	25	1	187	1469	6	1	5	49	6	19	11	3	1	5	1	355	1
C-terminal domain of CinA type S homolog	82	3	4	346	1	29	2	825	1202	107	1	71	1	57	395	132	4	310	2	352	597	352	16	3	90	1	39	1
C3-degrading proteinase	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	135	0	0	0	0	0	0	0	0	0
C4-type zinc finger protein, DksA/TraR family	4	9	8	233	2	747	10	346	50	393	2	3115	2	260	688	999	10	2106	236	274	4665	2076	37	4	1370	2	110	7
C5a peptidase (EC 3.4.21.-)	0	6	5	1	3	17	1	1	74	21	0	12	1	18	2	1	66	3	11	3	6	1	32	2	3	0	2	0
Cadmium efflux system accessory protein	29	88	20	2681	35	1411	31	3688	40	3222	25	2433	37	1914	1508	1180	2700	3288	88	5816	2109	2167	89	28	268	8	687	8
Cadmium resistance protein	34	13	1169	1398	1480	419	1727	984	139	682	11	2226	5	1979	731	1104	40	852	21	1744	288	123	2003	3	455	277	638	5
Cadmium-transporting ATPase (EC 3.6.3.3)	911	2457	109	257	29	86	66	446	1024	64	1074	228	1549	69	431	86	7	263	10	334	973	581	135	15	92	1101	325	1255
CAMP factor	1	2	2	2	3	16	2	2	56	20	2	14	1	6	10	1	2	2	1084	4	5	2	22	7	1	1	6	1
cAMP-binding proteins - catabolite gene activator and regulatory subunit of cAMP-dependent protein kinases	58	19	8	385	8	330	9	522	597	421	6	1858	5	159	1285	732	27	2377	182	719	4308	1733	39	9	758	4	339	5
Candidate zinc-binding lipoprotein ZinT	11	8	8	14	12	156	12	152	146	294	1	54	1	45	129	71	372	48	333	59	70	26	11	1	325	2	25	2
capsular polysaccharide biosynthesis protein	1	2	2	33	1	78	1	37	1	125	1	76	2	9	110	29	1	48	58	45	794	331	14	1	464	11	73	13
Capsular polysaccharide biosynthesis protein CpsK(V)	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	85	0	0	0	0	0	0	0	0	0
capsular polysaccharide biosynthesis protein, putative	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0
Capsular polysaccharide biosythesis protein CpsI	0	0	0	0	0	3	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	5	3	8	2
Capsular polysaccharide export system protein KpsC	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Capsular polysaccharide export system protein KpsF	1	2	3	19	2	196	2	81	21	177	1	1211	1	141	312	325	2	604	84	80	1295	628	8	2	542	3	130	1
Capsular polysaccharide repeat unit transporter CpsL	0	0	0	0	0	3	0	0	2	0	0	0	0	0	1	0	0	0	53	0	1	0	2	0	0	0	0	0
Capsular polysaccharide synthesis enzyme Cap5D	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Capsular polysaccharide synthesis enzyme Cap5E	2	0	0	1	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Capsular polysaccharide synthesis enzyme Cap5F	1	0	0	0	1	1	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
Capsular polysaccharide synthesis enzyme Cap5L	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Capsular polysaccharide synthesis enzyme Cap5M	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Capsular polysaccharide synthesis enzyme Cap8H	1	0	0	1	0	19	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0
Capsular polysaccharide synthesis enzyme Cap8I	1	0	0	0	0	2	0	0	0	1	0	8	0	10	0	0	0	1	0	0	0	0	0	0	0	0	0	0
Capsular polysaccharide synthesis enzyme Cap8J	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Capsular polysaccharide synthesis enzyme Cap8O	1	0	0	0	0	1	1	0	8	1	1	0	0	0	2	0	3	0	0	0	0	2	1	0	0	0	0	0
Carbamate kinase (EC 2.7.2.2)	26	4584	1172	2573	16302	8718	45	776	180	9461	56	1875	30	14842	1806	1686	50	1870	1051	682	2954	311	1437	9565	124	1932	4103	7005
Carbamate kinase-like protein YqeA	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	1	0	0	1	1	0	0	0	0	0	0
Carbamoyl-phosphate synthase large chain (EC 6.3.5.5)	1352	22331	5380	6662	7074	2052	3567	2498	4394	3249	7915	6822	6926	2246	4442	2139	1145	7197	195	5828	10293	3982	1724	1458	3717	11586	3406	15240
Carbamoyl-phosphate synthase small chain (EC 6.3.5.5)	1779	22116	10524	7122	12401	1126	10480	3583	4144	4925	7077	1723	7431	3096	3444	2919	766	7555	268	6348	4743	2550	4602	1542	2423	9799	4533	13663
Carbohydrate Esterase Family 4	0	0	0	0	0	27	0	0	0	1	0	3	0	14	1	0	0	0	0	0	2	0	0	0	0	0	0	0
Carbon starvation protein A	12	28	9	137	7	7109	24	607	17	10533	12	10447	13	12879	2328	4618	107	2282	34	1376	9621	3402	64	9	445	3	5822	4
Carbon starvation protein A paralog	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Carbon storage regulator	1	1	1	1	1	96	1	4	1	184	1	2060	1	677	1	1	1	1	4	1	1	1	1	1	1	1	1	1
Carbonic anhydrase (EC 4.2.1.1)	4	2	5	17	2	11	3	131	27	241	2	1061	2	14	296	303	3	755	22	119	1515	797	107	2	107	2	37	2
Carboxyl-terminal protease (EC 3.4.21.102)	1416	28	1626	3941	2420	3855	1185	3791	869	4569	58	1599	11	3440	2073	2255	1202	4771	124	3073	3206	1430	1641	22	1136	73	1210	22
Carboxynorspermidine decarboxylase, putative (EC 4.1.1.-)	2	3	1	10	1	87	1	50	10	100	1	361	1	25	144	130	1	237	33	40	473	212	2	1	122	1	32	1
Carboxynorspermidine dehydrogenase, putative (EC 1.1.1.-)	3	9	6	101	6	913	7	574	40	1060	3	4417	6	335	1487	1662	8	3441	266	456	4156	2175	42	4	1319	4	235	2
Cardiolipin synthetase (EC 2.7.8.-)	947	501	626	642	798	79	432	410	802	405	266	571	246	322	272	640	7	488	89	354	819	332	554	828	376	304	313	495
Carnitine operon protein CaiE	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	3	1	0	0	0	0	0	0	0
Carnitine racemase (EC 5.-.-.-)	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Carotenoid cis-trans isomerase (EC 5.2.-.-)	0	951	34	3	2	177	2	132	4	515	144	445	362	8	318	917	2	1764	2	183	1913	1344	114	1	1072	284	163	467
Catabolite control protein A	2003	2037	2852	2232	3960	108	2023	1880	1895	917	1482	55	1419	1119	563	1482	22	1258	89	2476	614	122	4018	2346	399	2107	1618	3251
Catabolite repression HPr-like protein Crh	1	4	1	4	1	71	1	19	1	205	1	1081	1	591	1	1	1	1	1	4	1	1	4	1	1	1	1	1
Catalase (EC 1.11.1.6)	3	1	1	1	1	10	1	1	4	3	1	11	1	7	1	1	1	10	1	1	3	1	328	1	1	1	1	1
Catalyzes the cleavage of p-aminobenzoyl-glutamate to p-aminobenzoate and glutamate, subunit A	1	1	1	1	1	9	1	3	3	21	1	4	1	4	1	1	5	3	1	1	1	1	85	1	3	1	1	1
Cation ABC transporter, periplasmic cation-binding protein, PA2407 homolog	3	3	2	5	2	2471	15	481	4	8078	4	1784	5	3621	783	2320	2	1907	6	751	3909	1670	9	6	1173	3	2711	2
CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase (EC 2.7.8.5)	4151	5325	2883	2425	3346	1500	148004	33860	3930	1140	5528	2243	2331	100501	20998	26996	318	3716	1001	311253	54933	4821	151048	4430	837	11458	2331	12194
CDP-diacylglycerol--serine O-phosphatidyltransferase (EC 2.7.8.8)	227	846	445	92	282	193	156	69	340	232	279	1113	442	51	280	441	96	448	894	778	1062	619	18	411	1449	2	83	2
CDP-glycerol:poly(glycerophosphate) glycerophosphotransferase (EC 2.7.8.12)	306	1241	2229	1621	2643	9	785	777	212	613	1036	13	397	453	410	508	4	758	7	1064	230	48	934	740	150	445	256	541
CDS_ID OB2202	0	0	0	46	0	0	0	0	0	0	0	1	0	0	1	0	0	1	172	0	0	1	4	0	1	1	1	1
Cell division initiation protein DivIVA	7559	17366	5360	12268	8009	2624	3966	15683	7630	6531	10298	1955	6824	5781	8202	5992	7790	11707	576	14298	14115	6564	9968	5964	2779	3759	3049	5125
Cell division protein BolA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	3	0
Cell division protein DivIC	36	20	18	2084	10	1789	20	2822	33	2177	32	637	17	1499	2508	748	2777	1732	101	2190	2080	2125	122	46	92	13	998	22
Cell division protein FtsA	4954	7597	11750	14688	15939	1799	7852	11089	3924	6919	4634	3770	2813	7536	6236	7338	45	12457	460	13936	8305	2690	14284	2102	3170	3590	3604	4456
Cell division protein FtsB	0	0	0	0	3	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cell division protein FtsH (EC 3.4.24.-)	8687	19149	15784	20003	21002	4235	7762	14902	8876	13241	8431	12334	6513	10509	10852	9273	2496	12182	1003	10993	17429	8613	16343	9644	9999	9215	7515	13312
Cell division protein FtsI [Peptidoglycan synthetase] (EC 2.4.1.129)	1846	1382	3727	7742	5065	2772	3428	7095	3143	5874	1212	3159	491	4929	6743	4102	1800	7266	234	7905	10776	5434	5818	1287	3301	883	3042	1077
Cell division protein FtsJ	1	0	0	2	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0
Cell division protein FtsK	3323	2606	3896	4404	3902	936	3321	5081	3332	4521	1352	1449	1170	3415	3284	3183	652	4684	153	5940	4303	1603	5599	819	1997	1770	1625	1887
Cell division protein FtsL	6058	3831	2908	3884	3386	46	3326	2236	3047	920	3156	57	1691	1957	1202	2118	38	1554	87	4880	1132	284	5526	821	868	5995	2978	9470
Cell division protein FtsN	0	0	1	0	0	0	0	2	1	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0
Cell division protein FtsQ	4132	4668	4963	6967	6394	1722	4449	4923	3445	3753	2758	2049	1692	3856	2772	3502	723	5083	352	6254	4702	1526	6315	1381	1155	2759	1616	3158
Cell division protein FtsQ homolog	31	5	4	645	0	6	2	74	385	42	2	172	0	25	279	65	2	179	0	272	872	521	13	3	315	3	26	0
Cell division protein FtsW	1064	3494	1331	3081	2046	1120	956	1535	2606	3125	1772	1856	1273	1301	2303	1424	509	3383	179	2128	5299	2750	1480	908	1509	940	922	1140
Cell division protein FtsX	680	138	318	2763	486	3405	245	2996	2407	3400	29	4656	53	3618	3830	1769	844	3898	215	2629	6210	3846	959	196	3284	91	1827	41
Cell division protein FtsZ (EC 3.4.24.-)	8528	13868	17341	23786	25388	9756	13309	25898	10702	17487	6399	7611	5442	15203	15626	13997	6162	21217	761	21377	23725	9655	17672	8636	7633	8947	7060	10021
Cell division protein GpsB, coordinates the switch between cylindrical and septal cell wall synthesis by re-localization of PBP1	2609	7280	2860	1954	3539	21	1558	1342	1806	1295	3444	14	1999	1157	453	1289	16	1774	325	1078	342	72	2319	1061	307	2184	822	2921
Cell division protein MraZ	32932	12198	5367	9011	7205	5642	7071	9225	17134	6681	8964	5802	5887	6550	6006	5214	3827	12112	214	11051	25580	7876	8608	8164	7810	7704	8955	9185
Cell division protein YlmG/Ycf19 (putative), YggT family	12730	13938	2665	1826	3348	35	2326	2032	4319	1163	8907	17	5602	2047	797	1193	41	2379	453	1878	1571	170	5542	2036	928	3028	2419	4430
Cell division protein ZipA	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0	1	0	3	0	1	0	0	0
Cell division topological specificity factor MinE	0	0	0	0	0	35	0	5	7	29	0	17	3	0	6	25	0	28	0	8	114	11	0	0	0	0	0	0
Cell division transporter, ATP-binding protein FtsE (TC 3.A.5.1.1)	3715	1613	1342	5572	1582	4183	1226	8168	6959	7708	1182	11203	558	5855	5537	5076	2270	8759	616	6382	14152	6119	2641	382	3273	661	2593	981
Cell division trigger factor (EC 5.2.1.8)	23324	33250	20774	31357	32694	13309	13600	35888	35846	28545	24750	23516	13676	22669	20140	18226	10747	29891	1632	20916	39890	21192	19696	10429	22356	11354	18150	12377
Cell envelope-associated transcriptional attenuator LytR-CpsA-Psr, subfamily A1 (as in PMID19099556)	186	6	15	1129	3	56	7	1132	1753	288	5	1256	6	175	1804	478	4	1242	10	1445	4892	3028	48	4	1051	2	86	3
Cell envelope-associated transcriptional attenuator LytR-CpsA-Psr, subfamily F1 (as in PMID19099556)	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	50	0	0	0	1	1	0	0	0	0
Cell envelope-associated transcriptional attenuator LytR-CpsA-Psr, subfamily F2 (as in PMID19099556)	3170	9680	3637	3172	4410	64	2163	1916	2042	1525	7980	78	4480	1618	937	1545	44	1931	147	3107	935	200	3941	3500	613	4409	1588	10798
Cell envelope-associated transcriptional attenuator LytR-CpsA-Psr, subfamily M (as in PMID19099556)	7	16	7	257	7	548	6	708	40	399	4	286	6	376	538	233	1044	438	8	420	921	354	13	4	137	2	227	2
Cell surface protein Shp, transfers heme from hemoglobin to apo-SiaA/HtsA	0	4	0	0	1	4	1	2	22	17	0	47	0	145	7	6	0	0	1	0	7	6	0	2	0	0	2	0
Cell wall surface anchor family protein	15252	59	84	16651	61	816	28	5122	1171	599	20	307	33	968	1576	133	24	2752	187	9709	44429	39855	421	41	1567	14	358	5
Cell wall surface anchor family protein, FPXTG motif	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	17	1	0	0	0	0	21	8	9	12
Cell wall surface anchor family protein, LPXTG motif	0	1	0	0	0	2	0	1	0	9	0	8	0	1	1	17	0	6	22	2	17	4	2	0	0	0	0	0
Cell wall-associated murein hydrolase LytC	82	9	14	3694	3	1576	5	1746	3	1802	11	550	5	556	810	356	3	1547	8	812	1117	1107	29	15	2296	1	118	5
Cellobiose phosphotransferase system YdjC-like protein	5	1	1	387	105	345	51	704	259	250	2	180	3	337	468	291	662	456	4	445	498	300	61	22	194	1	292	1
CFA/I fimbrial auxiliary subunit	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
CFA/I fimbrial major subunit	0	0	0	0	0	0	0	1	0	0	0	2	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
CFA/I fimbrial minor adhesin	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
CFA/I fimbrial subunit C usher protein	0	0	0	1	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
Chaperone HdeA	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	3	0	0	0	0	0	0	0	0
Chaperone HdeB	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0
Chaperone protein DnaJ	3252	5152	32184	35459	27559	9832	24719	12588	12809	24134	2782	21482	2512	35181	21256	7629	5521	10495	1065	39346	28489	18709	25236	2778	6994	6003	11063	5638
Chaperone protein DnaK	8733	25116	41945	82524	30100	23417	27711	43229	32002	64563	13970	81461	11930	88772	69055	25020	8795	28979	6147	98297	70586	59436	70646	9281	39676	15914	24825	21582
Chaperone protein HscA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Chaperone protein HscB	0	0	0	0	2	0	0	0	0	0	0	0	0	0	2	0	0	2	0	0	0	2	2	0	0	0	0	0
Chaperone protein HtpG	30	60	47	1271	19	2440	17	2617	1235	6047	9	19696	18	10493	9083	2276	60	3584	832	6041	10091	10267	161	22	10167	9	1686	6
Chaperonin (heat shock protein 33)	19	1	21	1	5	16	1	1	38	1	7	2	1	1	1	1	2	1	87	3	2	2	1	8	8	3	3	7
Chemotaxis protein CheC -- inhibitor of MCP methylation	0	0	0	0	0	419	4	39	2	485	2	4081	0	2026	0	0	0	0	2	2	0	0	0	2	0	0	0	0
Chemotaxis protein CheD	0	0	0	0	0	680	2	73	3	870	0	6661	3	3269	0	2	2	0	0	2	2	0	5	5	0	0	0	0
Chemotaxis protein CheV (EC 2.7.3.-)	0	0	0	0	0	471	4	66	0	593	1	5709	236	2499	1	1	1	0	1	4	1	1	3	3	0	0	0	0
Chemotaxis protein CheX	0	0	0	0	0	3	0	0	0	0	0	2	0	4	2	0	0	0	0	0	0	0	0	0	0	0	0	0
Chemotaxis protein methyltransferase CheR (EC 2.1.1.80)	2	1	1	1	1	783	2	61	5	1336	3	4770	1	3313	3	5	3	2	3	3	2	2	2	3	2	1	1	1
Chemotaxis regulator - transmits chemoreceptor signals to flagelllar motor components CheY	5	9	4	531	4	2784	17	1013	39	3780	8	14745	9	6783	112	543	1270	978	19	889	965	526	12	10	89	4	273	3
Chemotaxis response - phosphatase CheZ	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
Chemotaxis response regulator protein-glutamate methylesterase CheB (EC 3.1.1.61)	0	0	0	0	0	617	2	60	4	708	2	6426	0	3267	3	4	3	2	2	3	1	3	6	2	0	0	0	0
Chitinase (EC 3.2.1.14)	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Chitobiose-specific 6-phospho-beta-glucosidase ChbF (EC 3.2.1.86)	0	0	1	13	0	0	0	5	0	5	1	0	1	0	0	1	0	4	0	10	8	1	4	0	0	0	0	0
ChlI component of cobalt chelatase involved in B12 biosynthesis	1	1	2	1	1	1	1	1	1	2	1	3	1	1	5	1	1	2	2	2	4	3	109	1	1	1	1	1
Choline binding protein A	15	4	2	1	35	65	8	139	16	1231	18	33664	3	33	53	35	55	63	12	32	95	59	13	46	24	7	13	1
Choline dehydrogenase (EC 1.1.99.1)	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
Choline kinase (EC 2.7.1.32)	0	1	0	0	1	3	0	8	1	1	0	5	0	7	0	0	0	0	106	0	1	0	0	1	15	14	27	7
Choline permease LicB	10	1	7	174	1	7	1	20	15	168	1	26	1	13	42	6	33	63	1	40	62	64	17	1	121	2	2	1
Choline-sulfatase (EC 3.1.6.6)	1	2	1	2	2	285	0	9	21	159	0	91	0	107	65	0	0	101	1	0	73	24	0	1	1	0	16	0
Cholinephosphate cytidylyltransferase (EC 2.7.7.15)	5	1	10	618	7	20	1	88	3	410	1	65	1	26	99	12	47	163	3	89	97	94	5	16	99	1	4	2
Chondroitinase (chondroitin lyase)	0	0	0	0	0	13	0	5	0	4	0	4	0	2	0	0	0	0	0	4	0	3	0	0	1	0	0	0
Chorismate mutase (EC 5.4.99.5)	9	10	11	1019	9	592	4	1312	10	376	5	218	8	330	1020	352	1314	675	8	886	812	598	46	7	125	8	282	12
Chorismate mutase I (EC 5.4.99.5)	37	9	18	1658	9	666	7	2028	372	948	14	820	5	677	1687	569	964	1107	41	2826	5103	2105	59	14	951	5	1752	5
Chorismate synthase (EC 4.2.3.5)	43	14	12	553	8	311	8	1417	628	807	4	1407	6	300	1224	782	309	1485	138	682	3846	1297	97	5	798	5	300	3
Chorismate--pyruvate lyase (EC 4.1.3.40)	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Chromate transport protein ChrA	3	2	2	146	2	167	4	316	4	529	1	287	2	258	193	324	273	340	4	230	551	379	2	1	98	2	114	2
Chromosomal replication initiator protein DnaA	384	4298	2359	3026	2656	388	1412	1725	1023	1579	1406	2300	1732	1197	1658	2008	60	2717	235	2284	3299	1848	2912	1286	1671	2448	1207	3527
Chromosome (plasmid) partitioning protein ParA	1	4240	193	5	1	3	1	17	10	16	2095	2	1555	2	1	2	1	2	3	4	2	2	396	1	11	2249	450	2985
Chromosome (plasmid) partitioning protein ParB-2	2453	14	9	28	97	1115	251	29	1281	115	7	94	6	539	3204	17	44	13	15	17	61	39	8	30	10	6	681	5
Chromosome partition protein MukB	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Chromosome partition protein MukE	0	0	0	0	0	1	0	1	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0
Chromosome partition protein MukF	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0
Chromosome partition protein smc	4553	3366	189	401	535	1469	425	571	3151	2058	2340	270	1233	1222	478	439	766	1408	83	492	760	358	383	750	84	1858	724	1629
Chromosome replication initiation protein dnaD	1114	1872	1193	799	2368	7	940	324	1417	427	1003	12	739	376	176	432	5	346	58	320	85	27	895	687	295	726	471	561
CI-like repressor [SA bacteriophages 11, Mu50B]	0	0	299	145	332	0	238	167	0	155	3	5	1	288	150	534	1	345	1	24	142	29	108	0	14	31	33	3
CI-like repressor, superantigen-encoding pathogenicity islands SaPI	1	3	3	1	1	516	1	3	1	26	1	6	1	1	1	1	1	11	1	3	3	6	1	1	1	1	66	1
CidA-associated membrane protein CidB	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Citrate synthase (si) (EC 2.3.3.1)	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	1	0	0	0	1	1	0	0	0	0
Clostridial MutS2-related protein	722	1067	82	46	706	1	77	5	449	0	759	2	361	2	3	2	1	1	1	4	3	0	26	5	0	218	43	122
ClpB protein	207	286	158	10409	151	5688	231	7796	5131	15427	49	28567	79	31560	28489	3911	5842	3345	930	19424	22589	27650	935	57	15090	49	6195	16
ClpXP protease specificity-enhancing factor	0	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0
Clumping factor ClfA, fibrinogen-binding protein	2	0	0	1	0	3	1	2	4	2	3	2	0	2	2	0	2	7	0	0	22	6	1	0	0	0	0	0
Clumping factor ClfB, fibrinogen binding protein	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0
Cnu protein	0	1	1	1	1	1	1	1	0	1	0	1	1	1	4	1	1	1	0	1	1	1	1	1	1	1	1	1
CoA-acylating propionaldehyde dehydrogenase	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0
Cob(I)alamin adenosyltransferase (EC 2.5.1.17)	62	5	3	99	3	1502	5	291	10	1718	4	11081	3	6528	655	58	170	170	6	149	310	96	477	5	10	3	109	3
Cob(I)alamin adenosyltransferase PduO (EC 2.5.1.17)	4	4	3	6	2	196	2	5	10	3	3	13	2	11	2	2	2	4	16	2	11	3	360	2	4	2	8	2
